Function ID	Function Description
3076	cellular response to cobalt ion [GO:0071279]
3077	fructose 1,6-bisphosphate metabolic process [GO:0030388]
3078	fructose 2,6-bisphosphate metabolic process [GO:0006003]
3079	negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]
3080	negative regulation of mitophagy [GO:1901525]
3081	negative regulation of programmed cell death [GO:0043069]
3082	negative regulation of reactive oxygen species metabolic process [GO:2000378]
3083	positive regulation of cardiac muscle cell apoptotic process [GO:0010666]
3084	positive regulation of hexokinase activity [GO:1903301]
3085	regulation of pentose-phosphate shunt [GO:0043456]
3086	regulation of response to DNA damage checkpoint signaling [GO:1902153]
3087	response to gamma radiation [GO:0010332]
3088	phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]
3089	regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]
3090	ascending aorta morphogenesis [GO:0035910]
3091	atrial septum morphogenesis [GO:0060413]
3092	atrial septum primum morphogenesis [GO:0003289]
3093	atrioventricular valve morphogenesis [GO:0003181]
3094	cardiac epithelial to mesenchymal transition [GO:0060317]
3095	cardiac muscle cell proliferation [GO:0060038]
3096	cardiac right ventricle morphogenesis [GO:0003215]
3097	cardioblast differentiation [GO:0010002]
3098	endocardial cushion fusion [GO:0003274]
3099	endocardial cushion morphogenesis [GO:0003203]
3100	generation of neurons [GO:0048699]
3101	glial cell migration [GO:0008347]
3102	hair follicle morphogenesis [GO:0031069]
3103	heart valve morphogenesis [GO:0003179]
3104	membranous septum morphogenesis [GO:0003149]
3105	negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation [GO:1905006]
3106	negative regulation of macrophage cytokine production [GO:0010936]
3107	neutrophil chemotaxis [GO:0030593]
3108	outflow tract septum morphogenesis [GO:0003148]
3109	pharyngeal arch artery morphogenesis [GO:0061626]
3110	positive regulation of cardioblast differentiation [GO:0051891]
3111	positive regulation of cell cycle [GO:0045787]
3112	positive regulation of epithelial cell migration [GO:0010634]
3113	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation [GO:1905007]
3114	positive regulation of heart contraction [GO:0045823]
3115	positive regulation of immune response [GO:0050778]
3116	positive regulation of integrin biosynthetic process [GO:0045726]
3117	positive regulation of ossification [GO:0045778]
3118	positive regulation of timing of catagen [GO:0051795]
3119	regulation of apoptotic process involved in outflow tract morphogenesis [GO:1902256]
3120	regulation of timing of catagen [GO:0051794]
3121	regulation of transforming growth factor beta2 production [GO:0032909]
3122	salivary gland morphogenesis [GO:0007435]
3123	secondary palate development [GO:0062009]
3124	SMAD protein signal transduction [GO:0060395]
3125	somatic stem cell division [GO:0048103]
3126	substantia propria of cornea development [GO:1903701]
3127	uterine wall breakdown [GO:0042704]
3128	uterus development [GO:0060065]
3129	ventricular trabecula myocardium morphogenesis [GO:0003222]
3130	cytoplasmic microtubule organization [GO:0031122]
3131	meiotic spindle organization [GO:0000212]
3132	microtubule nucleation [GO:0007020]
3133	T cell activation involved in immune response [GO:0002286]
3134	defense response to fungus [GO:0050832]
3135	positive regulation of chemokine (C-C motif) ligand 1 production [GO:0071654]
3136	positive regulation of cytokine-mediated signaling pathway [GO:0001961]
3137	positive regulation of granulocyte colony-stimulating factor production [GO:0071657]
3138	positive regulation of interleukin-13 production [GO:0032736]
3139	positive regulation of interleukin-5 production [GO:0032754]
3140	positive regulation of mast cell activation [GO:0033005]
3141	positive regulation of receptor signaling pathway via STAT [GO:1904894]
3142	dense core granule priming [GO:0061789]
3143	neuronal dense core vesicle exocytosis [GO:0099011]
3144	positive regulation of synaptic vesicle priming [GO:0010808]
3145	melanin biosynthetic process from tyrosine [GO:0006583]
3146	positive regulation of neuroblast proliferation [GO:0002052]
3147	response to blue light [GO:0009637]
3148	ventricular zone neuroblast division [GO:0021847]
3149	mucus secretion [GO:0070254]
3150	negative regulation of secretion by cell [GO:1903531]
3151	positive regulation of histamine secretion by mast cell [GO:1903595]
3152	eosinophil degranulation [GO:0043308]
3153	triglyceride transport [GO:0034197]
3154	vesicle fusion with Golgi apparatus [GO:0048280]
3155	vesicle transport along microtubule [GO:0047496]
3156	D-xylose metabolic process [GO:0042732]
3157	UDP-D-xylose biosynthetic process [GO:0033320]
3158	neurotransmitter transport [GO:0006836]
3159	collagen metabolic process [GO:0032963]
3160	platelet alpha granule organization [GO:0070889]
3161	sperm mitochondrion organization [GO:0030382]
3162	egg activation [GO:0007343]
3163	female pronucleus assembly [GO:0035038]
3164	male pronucleus assembly [GO:0035039]
3165	histone H2A acetylation [GO:0043968]
3166	histone H4 acetylation [GO:0043967]
3167	germline cell cycle switching, mitotic to meiotic cell cycle [GO:0051729]
3168	protein localization to heterochromatin [GO:0097355]
3169	cellular response to gastrin [GO:1990878]
3170	midgut development [GO:0007494]
3171	pancreas regeneration [GO:1990798]
3172	positive regulation of acinar cell proliferation [GO:1904699]
3173	positive regulation of type B pancreatic cell proliferation [GO:1904692]
3174	response to acetylsalicylate [GO:1903492]
3175	response to growth hormone-releasing hormone [GO:1990864]
3176	response to water-immersion restraint stress [GO:1990785]
3177	error-prone translesion synthesis [GO:0042276]
3178	negative regulation of Rac protein signal transduction [GO:0035021]
3179	negative regulation of ruffle assembly [GO:1900028]
3180	wound healing, spreading of epidermal cells [GO:0035313]
3181	protein retention in ER lumen [GO:0006621]
3182	skeletal muscle acetylcholine-gated channel clustering [GO:0071340]
3183	cellular response to dsDNA [GO:1990786]
3184	cellular response to dsRNA [GO:0071359]
3185	negative regulation of MDA-5 signaling pathway [GO:0039534]
3186	activin receptor signaling pathway [GO:0032924]
3187	protein autoprocessing [GO:0016540]
3188	cellular response to lipoteichoic acid [GO:0071223]
3189	cellular response to muramyl dipeptide [GO:0071225]
3190	cellular response to peptidoglycan [GO:0071224]
3191	nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070427]
3192	nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]
3193	positive regulation of alpha-beta T cell proliferation [GO:0046641]
3194	positive regulation of immature T cell proliferation [GO:0033091]
3195	positive regulation of T-helper 1 type immune response [GO:0002827]
3196	positive regulation of xenophagy [GO:1904417]
3197	response to exogenous dsRNA [GO:0043330]
3198	response to interleukin-12 [GO:0070671]
3199	response to interleukin-18 [GO:0070673]
3200	T cell proliferation [GO:0042098]
3201	toll-like receptor 2 signaling pathway [GO:0034134]
3202	toll-like receptor 4 signaling pathway [GO:0034142]
3203	negative regulation of protein neddylation [GO:2000435]
3204	detection of virus [GO:0009597]
3205	phosphatidylserine metabolic process [GO:0006658]
3206	phospholipid biosynthetic process [GO:0008654]
3207	positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity [GO:1904219]
3208	positive regulation of serine C-palmitoyltransferase activity [GO:1904222]
3209	chronic inflammatory response to antigenic stimulus [GO:0002439]
3210	one-carbon metabolic process [GO:0006730]
3211	S-adenosylhomocysteine catabolic process [GO:0019510]
3212	S-adenosylmethionine cycle [GO:0033353]
3213	cellular response to gonadotropin stimulus [GO:0071371]
3214	iodide transmembrane transport [GO:1904200]
3215	iodide transport [GO:0015705]
3216	thyroid hormone generation [GO:0006590]
3217	pyridoxine biosynthetic process [GO:0008615]
3218	amino acid transport [GO:0006865]
3219	asparagine transport [GO:0006867]
3220	cellular response to potassium ion starvation [GO:0051365]
3221	glutamine transport [GO:0006868]
3222	histidine transport [GO:0015817]
3223	positive regulation of glutamine transport [GO:2000487]
3224	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH [GO:0061402]
3225	ether lipid metabolic process [GO:0046485]
3226	phosphatidylcholine acyl-chain remodeling [GO:0036151]
3227	microtubule depolymerization [GO:0007019]
3228	3'-phosphoadenosine 5'-phosphosulfate metabolic process [GO:0050427]
3229	doxorubicin metabolic process [GO:0044598]
3230	ethanol catabolic process [GO:0006068]
3231	flavonoid metabolic process [GO:0009812]
3232	xenobiotic metabolic process [GO:0006805]
3233	regulation of bone remodeling [GO:0046850]
3234	chondrocyte development [GO:0002063]
3235	embryonic skeletal system development [GO:0048706]
3236	esophagus smooth muscle contraction [GO:0014846]
3237	glomerular basement membrane development [GO:0032836]
3238	heparan sulfate proteoglycan metabolic process [GO:0030201]
3239	regulation of hepatocyte proliferation [GO:2000345]
3240	penetration of zona pellucida [GO:0007341]
3241	spermatogenesis, exchange of chromosomal proteins [GO:0035093]
3242	regulation of cellular component organization [GO:0051128]
3243	mitochondrial membrane organization [GO:0007006]
3244	release of cytochrome c from mitochondria [GO:0001836]
3245	positive regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902110]
3246	cellular response to nitrosative stress [GO:0071500]
3247	positive regulation of otic vesicle morphogenesis [GO:1904120]
3248	regulation of mitochondrial DNA metabolic process [GO:1901858]
3249	regulation of response to oxidative stress [GO:1902882]
3250	regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061418]
3251	cellular hypotonic response [GO:0071476]
3252	chemokine (C-X-C motif) ligand 12 signaling pathway [GO:0038146]
3253	maintenance of lens transparency [GO:0036438]
3254	negative regulation of creatine transmembrane transporter activity [GO:1905408]
3255	negative regulation of pancreatic juice secretion [GO:0090188]
3256	negative regulation of potassium ion transmembrane transporter activity [GO:1901017]
3257	negative regulation of sodium ion transmembrane transporter activity [GO:2000650]
3258	positive regulation of ion transmembrane transporter activity [GO:0032414]
3259	positive regulation of potassium ion transport [GO:0043268]
3260	positive regulation of T cell chemotaxis [GO:0010820]
3261	regulation of blood pressure [GO:0008217]
3262	mitochondrial DNA replication [GO:0006264]
3263	positive regulation of DNA helicase activity [GO:1905776]
3264	positive regulation of helicase activity [GO:0051096]
3265	positive regulation of mitochondrial DNA replication [GO:0090297]
3266	positive regulation of cation channel activity [GO:2001259]
3267	polysaccharide digestion [GO:0044245]
3268	cholesterol metabolic process [GO:0008203]
3269	cholesterol transport [GO:0030301]
3270	mitochondrial transport [GO:0006839]
3271	progesterone biosynthetic process [GO:0006701]
3272	vesicle tethering to endoplasmic reticulum [GO:0099044]
3273	cholesterol import [GO:0070508]
3274	cholesterol transport involved in cholesterol storage [GO:0010879]
3275	positive regulation of bile acid biosynthetic process [GO:0070859]
3276	positive regulation of cholesterol esterification [GO:0010873]
3277	co-translational protein modification [GO:0043686]
3278	protein N-linked glycosylation [GO:0006487]
3279	protein N-linked glycosylation via asparagine [GO:0018279]
3280	biomineral tissue development [GO:0031214]
3281	saliva secretion [GO:0046541]
3282	common-partner SMAD protein phosphorylation [GO:0007182]
3283	membrane assembly [GO:0071709]
3284	plasma membrane organization [GO:0007009]
3285	regulation of SMAD protein signal transduction [GO:0060390]
3286	lysosomal transport [GO:0007041]
3287	snRNA import into nucleus [GO:0061015]
3288	DNA methylation [GO:0006306]
3289	gene silencing by RNA [GO:0031047]
3290	extension of a leading process involved in cell motility in cerebral cortex radial glia guided migration [GO:0021816]
3291	negative regulation of dendritic spine development [GO:0061000]
3292	negative regulation of filopodium assembly [GO:0051490]
3293	anatomical structure regression [GO:0060033]
3294	apoptotic process involved in blood vessel morphogenesis [GO:1902262]
