	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
1661	protein N-terminus binding [GO:0047485]	1661
1662	cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; phosphatidic acid binding [GO:0070300]; phospholipid binding [GO:0005543]; transporter activity [GO:0005215]	1662
1663	p53 binding [GO:0002039]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription coregulator activity [GO:0003712]	1663
1664	peptide alpha-N-acetyltransferase activity [GO:0004596]; peptide-glutamate-N-acetyltransferase activity [GO:1990190]; peptide-serine-N-acetyltransferase activity [GO:1990189]	1664
1665	identical protein binding [GO:0042802]; S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]	1665
1666	aspartate N-acetyltransferase activity [GO:0017188]; N-acetyltransferase activity [GO:0008080]	1666
1667	identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]	1667
1668	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	1668
1669	PDZ domain binding [GO:0030165]; protein-containing complex binding [GO:0044877]; protein-membrane adaptor activity [GO:0043495]; scavenger receptor binding [GO:0005124]	1669
1670	ceramide binding [GO:0097001]; ceramide transfer activity [GO:0120017]; cerebroside transfer activity [GO:0140340]; cholesterol transfer activity [GO:0120020]; diacylglyceride transfer activity [GO:0140337]; diacylglycerol binding [GO:0019992]; high-density lipoprotein particle binding [GO:0008035]; low-density lipoprotein particle binding [GO:0030169]; phosphatidic acid binding [GO:0070300]; phosphatidic acid transfer activity [GO:1990050]; phosphatidylcholine binding [GO:0031210]; phosphatidylcholine transfer activity [GO:0120019]; phosphatidylcholine transporter activity [GO:0008525]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylethanolamine transfer activity [GO:1904121]; phosphatidylglycerol binding [GO:1901611]; phosphatidylglycerol transfer activity [GO:0140339]; phosphatidylinositol transfer activity [GO:0008526]; phospholipid transfer activity [GO:0120014]; sphingomyelin transfer activity [GO:0140338]; very-low-density lipoprotein particle binding [GO:0034189]	1670
1671	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleoside diphosphate kinase activity [GO:0004550]	1671
1672	glycosaminoglycan binding [GO:0005539]; heparin binding [GO:0008201]	1672
1673	methyltransferase activity [GO:0008168]; tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]	1673
1674	glial cell-derived neurotrophic factor receptor binding [GO:0030116]; growth factor activity [GO:0008083]; receptor tyrosine kinase binding [GO:0030971]; signaling receptor binding [GO:0005102]	1674
1675	5'-nucleotidase activity [GO:0008253]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; nucleotide binding [GO:0000166]	1675
1676	identical protein binding [GO:0042802]; signaling receptor regulator activity [GO:0030545]	1676
1677	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	1677
1678	acyltransferase activity [GO:0016746]; dihydrolipoyllysine-residue succinyltransferase activity [GO:0004149]	1678
1679	pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase (NAD+) activity [GO:0034604]	1679
1680	chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]; oxoglutarate dehydrogenase (NAD+) activity [GO:0034602]; oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]	1680
1681	carnitine O-octanoyltransferase activity [GO:0008458]	1681
1682	thioredoxin-disulfide reductase activity [GO:0004791]	1682
1683	collagen receptor activity [GO:0038064]	1683
1684	calcium ion binding [GO:0005509]; protein-macromolecule adaptor activity [GO:0030674]; protein phosphatase regulator activity [GO:0019888]	1684
1685	alpha-actinin binding [GO:0051393]; arachidonic acid binding [GO:0050544]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding domain binding [GO:0050692]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; peptide binding [GO:0042277]; prostaglandin receptor activity [GO:0004955]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; sequence-specific DNA binding [GO:0043565]; STAT family protein binding [GO:0097677]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]	1685
1686	DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; protein tyrosine kinase binding [GO:1990782]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	1686
1687	identical protein binding [GO:0042802]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	1687
1688	alkenylglycerophosphocholine hydrolase activity [GO:0047408]; alkenylglycerophosphoethanolamine hydrolase activity [GO:0047409]	1688
1689	RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1689
1690	enzyme binding [GO:0019899]; metal ion binding [GO:0046872]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylase activity [GO:1990404]	1690
1691	identical protein binding [GO:0042802]; lipopeptide binding [GO:0071723]; NAD(P)+ nucleosidase activity [GO:0050135]; NAD+ nucleotidase, cyclic ADP-ribose generating [GO:0061809]; signaling receptor activity [GO:0038023]; Toll-like receptor 2 binding [GO:0035663]; transmembrane signaling receptor activity [GO:0004888]	1691
1692	tumor necrosis factor-activated receptor activity [GO:0005031]; tumor necrosis factor binding [GO:0043120]	1692
1693	cytokine binding [GO:0019955]; tumor necrosis factor-activated receptor activity [GO:0005031]; ubiquitin protein ligase binding [GO:0031625]; virus receptor activity [GO:0001618]	1693
1694	cytokine binding [GO:0019955]; metal ion binding [GO:0046872]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; tumor necrosis factor-activated receptor activity [GO:0005031]	1694
1695	phosphoprotein binding [GO:0051219]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102]	1695
1696	coreceptor activity [GO:0015026]	1696
1697	cardiolipin binding [GO:1901612]; long-chain fatty acid binding [GO:0036041]; oxidative phosphorylation uncoupler activity [GO:0017077]; purine ribonucleotide binding [GO:0032555]; transmembrane transporter activity [GO:0022857]	1697
1698	cysteine-type endopeptidase activity [GO:0004197]; RNA binding [GO:0003723]; thiol-dependent deubiquitinase [GO:0004843]	1698
1699	glucuronosyltransferase activity [GO:0015020]; UDP-glycosyltransferase activity [GO:0008194]	1699
1700	RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; U3 snoRNA binding [GO:0034511]	1700
1701	enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; glucuronosyltransferase activity [GO:0015020]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; retinoic acid binding [GO:0001972]	1701
1702	miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; uridylyltransferase activity [GO:0070569]; zinc ion binding [GO:0008270]	1702
1703	identical protein binding [GO:0042802]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	1703
1704	cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; protein domain specific binding [GO:0019904]; receptor ligand activity [GO:0048018]	1704
1705	metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	1705
1706	protein dimerization activity [GO:0046983]; zinc ion binding [GO:0008270]	1706
1707	nucleic acid binding [GO:0003676]; phosphatidylinositol binding [GO:0035091]; zinc ion binding [GO:0008270]	1707
1708	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; RNA binding [GO:0003723]	1708
1709	isopeptidase activity [GO:0070122]; protein homodimerization activity [GO:0042803]	1709
1710	adrenomedullin binding [GO:1990409]; adrenomedullin receptor activity [GO:0001605]; coreceptor activity [GO:0015026]	1710
1711	glutaminyl-peptide cyclotransferase activity [GO:0016603]; metalloexopeptidase activity [GO:0008235]; zinc ion binding [GO:0008270]	1711
1712	endonuclease activity [GO:0004519]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	1712
1713	alpha-actinin binding [GO:0051393]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; mRNA 5'-UTR binding [GO:0048027]; nuclear receptor activity [GO:0004879]; protein domain specific binding [GO:0019904]; protein kinase A binding [GO:0051018]; protein kinase B binding [GO:0043422]; retinoic acid binding [GO:0001972]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; signaling receptor binding [GO:0005102]; transcription factor binding [GO:0008134]; translation repressor activity, mRNA regulatory element binding [GO:0000900]; zinc ion binding [GO:0008270]	1713
1714	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	1714
1715	pre-mRNA intronic binding [GO:0097157]; U12 snRNA binding [GO:0030626]	1715
1716	mRNA binding [GO:0003729]; nucleic acid binding [GO:0003676]; RNA binding [GO:0003723]	1716
1717	protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]	1717
1718	11-cis-retinol dehydrogenase activity [GO:0102354]; NADP-retinol dehydrogenase activity [GO:0052650]; NAD-retinol dehydrogenase activity [GO:0004745]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	1718
1719	double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]	1719
1720	DNA-binding transcription factor binding [GO:0140297]; NAD-retinol dehydrogenase activity [GO:0004745]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription corepressor activity [GO:0003714]	1720
1721	guanyl-nucleotide exchange factor activity [GO:0005085]; identical protein binding [GO:0042802]	1721
1722	small GTPase binding [GO:0031267]; transmembrane transporter binding [GO:0044325]	1722
1723	ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]	1723
1724	phosphatidate cytidylyltransferase activity [GO:0004605]	1724
1725	collagen binding [GO:0005518]; collagen fibril binding [GO:0098633]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; integrin binding [GO:0005178]	1725
1726	double-stranded RNA binding [GO:0003725]; identical protein binding [GO:0042802]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	1726
1727	K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein kinase binding [GO:0019901]	1727
1728	receptor tyrosine kinase binding [GO:0030971]; SMAD binding [GO:0046332]; transcription corepressor activity [GO:0003714]	1728
1729	ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; cytoskeletal protein binding [GO:0008092]; lamin binding [GO:0005521]	1729
1730	mRNA (adenine-N1-)-methyltransferase activity [GO:0061953]; rRNA (adenine) methyltransferase activity [GO:0016433]; tRNA (adenine-N1-)-methyltransferase activity [GO:0016429]	1730
1731	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; pre-mRNA binding [GO:0036002]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]	1731
1732	ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	1732
1733	antigen binding [GO:0003823]; DNA binding [GO:0003677]; DNA topoisomerase binding [GO:0044547]; metal ion binding [GO:0046872]; SUMO transferase activity [GO:0019789]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	1733
1734	protein disulfide isomerase activity [GO:0003756]; protein-disulfide reductase activity [GO:0015035]; thiol oxidase activity [GO:0016972]	1734
1735	3'-5'-exodeoxyribonuclease activity [GO:0008296]; exodeoxyribonuclease III activity [GO:0008853]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]	1735
